,Group_1,Group_2,Group_3,Group_4,Group_5
2023-03-22,7.687814123182266,5.822303888423875,3.9709579738162715,4.726976397202255,3.434776084018201
2023-03-23,7.653844507969996,5.8418526970744535,3.9933833466941,4.769433058220601,3.5038592047160573
2023-03-24,7.6505593387239275,5.885527250569182,4.031358395102764,4.812147824049677,3.5235343079656665
2023-03-27,7.634246612012891,5.89506794933963,4.042304586799205,4.831102767214114,3.5331725696108385
2023-03-28,7.831988662027213,5.986900561062731,4.104037415457499,4.895531199165911,3.559221051793435
2023-03-29,7.897284082109325,6.017578148470798,4.118559954610433,4.913110937272465,3.5724281095086523
2023-03-30,8.061369671608459,6.132236460090391,4.185969013886963,4.97934771382995,3.598950770094836
2023-03-31,8.008694564198105,6.1334603863811825,4.187545828414193,4.99479385585065,3.6209974705320658
2023-04-03,7.896714267728433,6.055780545994215,4.127953000263676,4.941258785953776,3.6194274472310224
2023-04-04,7.745634518003102,6.005013835557179,4.105095229338515,4.9541585654235645,3.6713448600971708
2023-04-05,7.745695426429619,5.988747199897882,4.103101185536322,4.953717118467709,3.680470403521827
2023-04-06,7.861223060164205,6.032625890767796,4.137519848482931,4.977974749809694,3.6797638594426854
2023-04-10,7.911877616726338,6.072119953307574,4.1686840090431865,5.012653683599815,3.6861853537308766
2023-04-11,7.811131875468076,6.053577469291511,4.158769961480547,5.002649006586329,3.6811485895622327
2023-04-12,7.920491816256802,6.1193034680692895,4.185803305703448,5.025005212137942,3.6953020109218166
2023-04-13,7.911147375041038,6.10241329078453,4.172478528214023,5.007336396638817,3.666434843424981
2023-04-14,7.93664325296895,6.141073150617647,4.208938821680971,5.048089641067061,3.687421929089969
2023-04-17,7.980044598291958,6.1568830287896175,4.211660832828664,5.048496583192289,3.6825704914472723
2023-04-18,7.957089869724117,6.138402005065754,4.211012222897463,5.054764606219465,3.683589775067339
2023-04-19,7.8542046650522614,6.1081718652550725,4.1879598182715565,5.040333161851784,3.67825836313924
2023-04-20,7.827030074030128,6.1079247480208325,4.185710721863793,5.039870204479245,3.684184340512076
2023-04-21,7.8138676384631145,6.112778133564371,4.198952746152657,5.048972120331405,3.6958974502714006
2023-04-24,7.5540840849117465,5.973269053975114,4.124233329061649,4.98386410326689,3.6968435890741262
2023-04-25,7.539320230802487,5.944500938107487,4.073922231724992,4.934206941988332,3.6491358012023873
2023-04-26,7.66743598400455,6.0619441693633105,4.149630819614153,5.015680286649489,3.691902177721757
